Voltage(V),SoE (%)
4.018303,87.0891842
4.01813,87.07405796
4.01802,87.05903993
4.0179,87.04391369
4.017694,87.02873336
4.017563,87.01363958
4.017432,86.99852416
4.017216,86.98350613
4.017036,86.96836907
4.016781,86.95336185
4.016593,86.93823562
4.016355,86.92314184
4.016225,86.90797233
4.01608,86.89296511
4.015906,86.87782805
4.015841,86.86271264
4.015602,86.84771624
4.015446,86.83255755
4.015405,86.81751787
4.015297,86.80240245
4.01513,86.78727622
4.015056,86.77227982
4.014852,86.75717522
4.014725,86.74215719
4.01453,86.72702013
4.014412,86.71192636
4.014277,86.69681094
4.013991,86.68177126
4.013755,86.66665585
4.013556,86.65165945
4.013388,86.63653321
4.013273,86.62143944
4.013151,86.60633484
4.012902,86.59123025
4.012784,86.57624467
4.012607,86.56118335
4.01248,86.54612204
4.01246,86.53095252
4.012382,86.51596694
4.012195,86.50081907
4.01201,86.48574693
4.011965,86.47073971
4.011744,86.45565676
4.011582,86.4405738
4.011351,86.42550167
4.011194,86.41035379
4.010903,86.39534657
4.010741,86.38024198
4.010494,86.36513738
4.010475,86.35010852
4.010253,86.33505803
4.010059,86.32003999
4.009989,86.30491375
4.009833,86.28980916
4.009668,86.2748344
4.009584,86.25971899
4.009467,86.24465767
4.009367,86.22956389
4.009186,86.21452422
4.009027,86.19948454
4.008906,86.18444486
4.008721,86.16934027
4.008584,86.15427895
4.00842,86.13920681
4.008173,86.12422124
4.007991,86.10910582
4.007807,86.09406614
4.007555,86.07896155
4.007481,86.06394351
4.00725,86.04895793
4.007091,86.0338317
4.006997,86.01880284
4.006865,86.00376317
4.006638,85.98870185
4.006584,85.97365135
4.006464,85.95854676
4.00633,85.9434638
4.006174,85.92849986
4.006,85.91338445
4.005902,85.89840969
4.00568,85.88334837
4.005594,85.86826542
4.005376,85.85323656
4.005124,85.83822934
4.004886,85.82318967
4.004751,85.80811753
4.004554,85.79304539
4.004429,85.77802736
4.004281,85.76296604
4.004083,85.74795882
4.003895,85.73281095
4.003769,85.71785783
4.003688,85.70273159
4.003638,85.68777848
4.003471,85.67269552
4.003313,85.65767748
4.003204,85.64263781
4.003041,85.62759813
4.002896,85.61249354
4.002706,85.59754042
4.002545,85.58248992
4.002279,85.56741778
4.002089,85.55242139
4.001872,85.53728433
4.001781,85.52233121
4.001655,85.50735646
4.001433,85.49223022
4.001237,85.47724464
4.001096,85.46221579
4.000947,85.44713283
4.000848,85.43210398
4.000724,85.41710758
4.000587,85.40211118
4.000553,85.38708232
4.000321,85.37193445
4.000175,85.35692723
4.000013,85.34200657
3.999904,85.32689116
3.999702,85.31188394
3.999545,85.29685508
3.999347,85.28179377
3.999068,85.26680819
3.998936,85.25176851
3.998703,85.23672884
3.998586,85.22174326
3.99843,85.20672522
3.998253,85.19166391
3.998142,85.17671079
3.998007,85.16173603
3.997741,85.14668554
3.997725,85.13169996
3.997663,85.11664946
3.9975,85.10159897
3.997372,85.08654847
3.997191,85.07150879
3.997001,85.05650158
3.996847,85.04153764
3.996697,85.02650878
3.996461,85.01146911
3.996305,84.99651599
3.996014,84.98149795
3.995878,84.96650155
3.995646,84.95148352
3.995568,84.93637892
3.995492,84.92146908
3.995229,84.90645105
3.995016,84.89135727
3.994905,84.87638251
3.994762,84.86134284
3.994731,84.84633562
3.994651,84.83131758
3.994505,84.81640775
3.994315,84.80136807
3.99415,84.78641495
3.993975,84.77137528
3.993849,84.75629232
3.9937,84.74131756
3.993392,84.72631035
3.993219,84.71128149
3.993038,84.69626345
3.992844,84.68137525
3.992676,84.66636804
3.992532,84.65135
